station,phase,time
das2500,P,1715040505.982
das2100,P,1715040893.752001
das2100,P,1715041047.0419998
das1300,P,1715041152.7020001
das2500,P,1715044097.572
das1500,P,1715044214.2220001
das2900,P,1715044376.511999
das1300,P,1715048358.352
das2300,P,1715048395.8019998
das2100,P,1715048576.862001
das2300,P,1715048699.901998
das1700,P,1715048717.8620002
das2900,P,1715048761.792002
das2500,P,1715048805.9120011
das700,P,1715049177.952002
das2100,P,1715049297.2419991
das1900,P,1715049560.542
das2300,P,1715050102.7420008
das2500,P,1715050617.351999
das2700,P,1715050617.292002
das2900,P,1715050859.952002
das2300,P,1715051238.402
das1500,P,1715051654.972
das1500,P,1715051878.272001
das1900,P,1715051877.822
das2300,P,1715052477.392
das1500,P,1715052738.262
das2700,P,1715053016.2020018
das2300,P,1715053320.8019998
das1900,P,1715053918.5020008
das2100,P,1715055841.971998
das2700,P,1715056272.612
das1100,P,1715056417.5020008
das2300,P,1715056752.992
das1300,P,1715057002.092001
das2300,P,1715057123.7619991
das2500,P,1715057401.8820019
das2300,P,1715057639.7619991
das1900,P,1715057820.772001
das2100,P,1715058061.552
das1700,P,1715058498.582
das1300,P,1715059038.2220001
das2500,P,1715059198.772001
das2900,P,1715060219.052
das1700,P,1715060280.132002
das2700,P,1715060341.511999
das2300,P,1715060606.611999
das1700,P,1715061737.872
das2300,P,1715061838.471998
das1700,P,1715061974.492
das2900,P,1715062081.962
das2300,P,1715062318.642
das1500,P,1715062426.991999
das2300,P,1715062423.2819998
das2700,P,1715062416.402
das100,P,1715062452.1820002
das300,P,1715062449.232
das2300,P,1715062620.5020008
das2300,P,1715062996.832
das1700,P,1715063186.582001
das2100,P,1715063517.052
das2100,P,1715064357.191999
das900,P,1715064660.081999
das2100,P,1715064674.492
das1900,P,1715064737.852
das1700,P,1715064978.352
das1300,P,1715065098.402
das2300,P,1715065256.971998
das2100,P,1715065285.652
das2700,P,1715065439.952002
das1900,P,1715065498.721998
das2700,P,1715065495.712
das2500,P,1715065527.532
das2700,P,1715065741.032
das1900,P,1715065819.782
das1300,P,1715066002.6720011
das1900,P,1715066221.232
das2700,P,1715066511.302
das1300,P,1715066533.3219998
das2300,P,1715067481.2619991
das2700,P,1715067541.982
das900,P,1715067677.3219998
das2900,P,1715067802.332001
das2500,P,1715067896.081999
das1700,P,1715068681.811998
das2300,P,1715068800.042002
das2300,P,1715069158.7619991
das2100,P,1715069603.691999
das1900,P,1715069966.191999
das2100,P,1715070131.202
das2300,P,1715070179.842001
das1900,P,1715071079.032
das1700,P,1715071158.032
das2500,P,1715071676.782
das2900,P,1715071680.901998
das2300,P,1715071739.432001
das2700,P,1715071981.822
das2700,P,1715072096.822
das2900,P,1715072650.8419998
das2500,P,1715072760.822
das300,P,1715072818.7619991
das1900,P,1715072939.511999
das2700,P,1715072996.892
das300,P,1715073497.4220002
