station,phase,time
das900,P,1715299737.0220008
das1900,P,1715300400.7619991
das1900,P,1715307204.032
das2900,P,1715307204.122
das1100,P,1715308612.901998
das2300,P,1715310901.212
das1900,P,1715313779.372
das900,P,1715314681.162001
das1900,P,1715322205.712
das2100,P,1715330713.432
das2300,P,1715333275.351999
das1500,P,1715334978.8019998
das1700,P,1715344860.0220008
das1900,P,1715344861.862001
das1900,P,1715347680.552
das2700,P,1715347681.4120011
das500,P,1715348352.962
das1700,P,1715348940.362001
das1900,P,1715349179.4419992
das1900,P,1715349419.662001
das1900,P,1715349540.8820019
das1300,S,1715300546.122
das1700,S,1715301579.2619991
das1900,S,1715301579.122
das100,S,1715302332.6220002
das900,S,1715304105.132002
das2900,S,1715304556.9020002
das300,S,1715305050.872
das1900,S,1715305522.191999
das1500,S,1715308610.4819999
das700,S,1715308629.0019999
das2100,S,1715309077.811998
das100,S,1715309370.582001
das1900,S,1715309361.431999
das2300,S,1715309360.5619998
das2700,S,1715309358.372
das2900,S,1715311574.092
das300,S,1715313329.771999
das2300,S,1715313320.6220002
das2900,S,1715316193.332
das1100,S,1715316632.511999
das1900,S,1715320295.332001
das1100,S,1715321747.9120011
das900,S,1715322635.992001
das1100,S,1715322808.922001
das100,S,1715323343.822
das500,S,1715324049.492
das1900,S,1715324906.2420008
das2900,S,1715326153.212
das2900,S,1715330833.152
das1100,S,1715330967.492001
das900,S,1715334990.7020001
das1300,S,1715334986.202
das1100,S,1715335458.3820002
das2100,S,1715338098.652
das1100,S,1715340198.272
das900,S,1715340378.3820002
das1100,S,1715340378.4220002
das300,S,1715341510.7020001
das900,S,1715341510.4620001
das2900,S,1715342904.952
das2500,S,1715343433.792
das1300,S,1715343552.992
das1100,S,1715346394.3219998
das1100,S,1715347334.1020002
das1100,S,1715347425.831999
das1100,S,1715347561.081999
das1100,S,1715347724.6820009
das900,S,1715347885.5020008
das100,S,1715348360.532
das1500,S,1715348353.432
das1500,S,1715349583.572
das1900,S,1715349583.232
das2100,S,1715349583.532
das2300,S,1715349585.862001
das2500,S,1715349586.151998
das2700,S,1715349583.4819999
das1700,S,1715299518.212
das2100,S,1715299518.052
das1100,S,1715300238.202
das1500,S,1715300237.172
das2100,S,1715300897.692
das1300,S,1715301372.922
das1300,S,1715302152.672
das1700,S,1715302218.5219998
das1300,S,1715303356.872
das1300,S,1715303897.792
das2100,S,1715304498.582
das1700,S,1715304738.212
das2100,S,1715305453.0819998
das100,S,1715306007.922001
das2300,S,1715306993.6220002
das1900,S,1715308020.9419992
das2100,S,1715308037.952
das700,S,1715308615.642
das900,S,1715308614.2819998
das2300,S,1715308599.971998
das1500,S,1715308813.412
das1700,S,1715309058.822
das1500,S,1715309118.0819998
das1700,S,1715309362.191999
das2900,S,1715309357.502
das1500,S,1715309597.912
das1700,S,1715309898.672
das2100,S,1715310378.332
das900,S,1715310522.4819999
das2100,S,1715310617.962
das2100,S,1715310674.0819998
das1500,S,1715311272.7020001
das1700,S,1715311398.172
das2100,S,1715311888.511999
das700,S,1715312087.872
das1300,S,1715312057.3420002
das2100,S,1715312298.5619998
das1500,S,1715312412.512
das1500,S,1715312534.0419998
das1900,S,1715312791.122
das900,S,1715313412.8820019
das1300,S,1715313737.792
das2100,S,1715314393.472
das1300,S,1715314695.122
das100,S,1715314990.752
das1300,S,1715315172.172
das2100,S,1715315232.992
das2500,S,1715315699.5220008
das1700,S,1715316437.812
das2100,S,1715316673.012
das2100,S,1715316738.2819998
das1500,S,1715317815.952
das700,S,1715317871.882
das1300,S,1715318537.412
